id,nombre,slug,categoria_id,categoria,precio_total,precio_por_unidad,unidad_medida,iva,empaque,disponible,url
19958,Berenjenas de Almagro aliñada Antonio,berenjenas-almagro-alinada-antonio-tarro,15,Aperitivos,5.28,3.59,kg,10.000,Tarro,True,https://tienda.mercadona.es/product/19958/berenjenas-almagro-alinada-antonio-tarro
28035,Agua mineral grande Bronchales,agua-mineral-grande-bronchales-mineralizacion-muy-debil-garrafa,18,Agua y refrescos,0.22,1.3,l,10.000,Garrafa,True,https://tienda.mercadona.es/product/28035/agua-mineral-grande-bronchales-mineralizacion-muy-debil-garrafa
23448,Agua mineral grande Bronchales,agua-mineral-grande-bronchales-mineralizacion-muy-debil-pack-6,18,Agua y refrescos,0.26,2.34,l,10.000,,True,https://tienda.mercadona.es/product/23448/agua-mineral-grande-bronchales-mineralizacion-muy-debil-pack-6
23449,Agua mineral grande Bronchales,agua-mineral-grande-bronchales-mineralizacion-muy-debil-botella,18,Agua y refrescos,0.26,0.39,l,10.000,Botella,True,https://tienda.mercadona.es/product/23449/agua-mineral-grande-bronchales-mineralizacion-muy-debil-botella
28491,Agua mineral mediana Bronchales,agua-mineral-mediana-bronchales-mineralizacion-muy-debil-pack-6,18,Agua y refrescos,0.5,3.0,l,10.000,Pack-6,True,https://tienda.mercadona.es/product/28491/agua-mineral-mediana-bronchales-mineralizacion-muy-debil-pack-6
28499,Agua mineral mediana Bronchales,agua-mineral-mediana-bronchales-mineralizacion-muy-debil-botella,18,Agua y refrescos,0.5,0.5,l,10.000,Botella,True,https://tienda.mercadona.es/product/28499/agua-mineral-mediana-bronchales-mineralizacion-muy-debil-botella
27061,Agua mineral pequeña Bronchales,agua-mineral-pequena-bronchales-mineralizacion-muy-debil-pack-6,18,Agua y refrescos,0.58,1.74,l,10.000,Pack-6,True,https://tienda.mercadona.es/product/27061/agua-mineral-pequena-bronchales-mineralizacion-muy-debil-pack-6
27054,Agua mineral pequeña Bronchales,agua-mineral-pequena-bronchales-mineralizacion-muy-debil-botella,18,Agua y refrescos,0.58,0.29,l,10.000,Botella,True,https://tienda.mercadona.es/product/27054/agua-mineral-pequena-bronchales-mineralizacion-muy-debil-botella
28566,Agua mineral pequeña Bronchales tapón infantil,agua-mineral-pequena-bronchales-tapon-infantil-mineralizacion-muy-debil-pack-6,18,Agua y refrescos,1.21,2.4,l,10.000,Pack-6,True,https://tienda.mercadona.es/product/28566/agua-mineral-pequena-bronchales-tapon-infantil-mineralizacion-muy-debil-pack-6
28567,Agua mineral pequeña Bronchales tapón infantil,agua-mineral-pequena-bronchales-tapon-infantil-mineralizacion-muy-debil-botella,18,Agua y refrescos,1.21,0.4,l,10.000,Botella,True,https://tienda.mercadona.es/product/28567/agua-mineral-pequena-bronchales-tapon-infantil-mineralizacion-muy-debil-botella
27314,Agua mineral grande Bezoya,agua-mineral-grande-bezoya-mineralizacion-muy-debil-pack-6,18,Agua y refrescos,0.5,4.5,l,10.000,Pack-6,True,https://tienda.mercadona.es/product/27314/agua-mineral-grande-bezoya-mineralizacion-muy-debil-pack-6
27230,Agua mineral grande Bezoya,agua-mineral-grande-bezoya-mineralizacion-muy-debil-botella,18,Agua y refrescos,0.5,0.75,l,10.000,Botella,True,https://tienda.mercadona.es/product/27230/agua-mineral-grande-bezoya-mineralizacion-muy-debil-botella
27099,Agua mineral grande Nestlé Aquarel,agua-mineral-grande-nestle-aquarel-mineralizacion-muy-debil-pack-6,18,Agua y refrescos,0.43,3.84,l,10.000,Pack-6,True,https://tienda.mercadona.es/product/27099/agua-mineral-grande-nestle-aquarel-mineralizacion-muy-debil-pack-6
27232,Agua mineral grande Nestlé Aquarel,agua-mineral-grande-nestle-aquarel-mineralizacion-muy-debil-botella,18,Agua y refrescos,0.43,0.64,l,10.000,Botella,True,https://tienda.mercadona.es/product/27232/agua-mineral-grande-nestle-aquarel-mineralizacion-muy-debil-botella
27350,Agua mineral grande Font Vella,agua-mineral-grande-font-vella-mineralizacion-debil-pack-6,18,Agua y refrescos,0.48,4.32,l,10.000,,True,https://tienda.mercadona.es/product/27350/agua-mineral-grande-font-vella-mineralizacion-debil-pack-6
28060,Agua mineral grande Cortes,agua-mineral-grande-cortes-mineralizacion-debil-garrafa,18,Agua y refrescos,0.12,0.95,l,10.000,Garrafa,True,https://tienda.mercadona.es/product/28060/agua-mineral-grande-cortes-mineralizacion-debil-garrafa
27088,Agua mineral grande Cortes,agua-mineral-grande-cortes-mineralizacion-debil-garrafa,18,Agua y refrescos,0.14,0.82,l,10.000,Garrafa,True,https://tienda.mercadona.es/product/27088/agua-mineral-grande-cortes-mineralizacion-debil-garrafa
28269,Agua mineral grande Cortes,agua-mineral-grande-cortes-mineralizacion-debil-pack-6,18,Agua y refrescos,0.18,1.62,l,10.000,,True,https://tienda.mercadona.es/product/28269/agua-mineral-grande-cortes-mineralizacion-debil-pack-6
28270,Agua mineral grande Cortes,agua-mineral-grande-cortes-mineralizacion-debil-botella,18,Agua y refrescos,0.18,0.27,l,10.000,Botella,True,https://tienda.mercadona.es/product/28270/agua-mineral-grande-cortes-mineralizacion-debil-botella
28163,Agua mineral mediana Cortes,agua-mineral-mediana-cortes-mineralizacion-debil-pack-6,18,Agua y refrescos,0.4,2.4,l,10.000,,True,https://tienda.mercadona.es/product/28163/agua-mineral-mediana-cortes-mineralizacion-debil-pack-6
28164,Agua mineral mediana Cortes,agua-mineral-mediana-cortes-mineralizacion-debil-botella,18,Agua y refrescos,0.4,0.4,l,10.000,Botella,True,https://tienda.mercadona.es/product/28164/agua-mineral-mediana-cortes-mineralizacion-debil-botella
27204,Agua mineral grande Font Vella,agua-mineral-grande-font-vella-mineralizacion-debil-botella,18,Agua y refrescos,0.5,0.75,l,10.000,Botella,True,https://tienda.mercadona.es/product/27204/agua-mineral-grande-font-vella-mineralizacion-debil-botella
27327,Agua mineral grande Solán de Cabras,agua-mineral-grande-solan-cabras-mineralizacion-debil-pack-6,18,Agua y refrescos,0.59,5.34,l,10.000,,True,https://tienda.mercadona.es/product/27327/agua-mineral-grande-solan-cabras-mineralizacion-debil-pack-6
27356,Agua mineral grande Solán de Cabras,agua-mineral-grande-solan-cabras-mineralizacion-debil-botella,18,Agua y refrescos,0.59,0.89,l,10.000,Botella,True,https://tienda.mercadona.es/product/27356/agua-mineral-grande-solan-cabras-mineralizacion-debil-botella
28198,Agua de coco Hacendado 100% natural,agua-coco-chaokoh-100-natural-brick,18,Agua y refrescos,2.6,2.6,l,10.000,Brick,True,https://tienda.mercadona.es/product/28198/agua-coco-chaokoh-100-natural-brick
27213,Agua mineral con gas grande Vichy Catalan,agua-mineral-con-gas-grande-vichy-catalan-botella,18,Agua y refrescos,1.55,1.55,l,10.000,Botella,True,https://tienda.mercadona.es/product/27213/agua-mineral-con-gas-grande-vichy-catalan-botella
